country,director,genre,imdb_rating,imdb_url,title,url,year
СССР,Андрей Малюков,,6.2,https://www.imdb.com/title/tt0081967/,,https://ru.wikipedia.org/wiki/34-%D0%B9_%D1%81%D0%BA%D0%BE%D1%80%D1%8B%D0%B9,1981
,Патрисия Ригген,,6.9,https://www.imdb.com/title/tt2006295/,,https://ru.wikipedia.org/wiki/33_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC),2015
США,Джозеф Косински,,7.6,https://www.imdb.com/title/tt16311594/,,https://ru.wikipedia.org/wiki/F1_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC),2025
Канада,Дени Вильнёв,,6.4,https://www.imdb.com/title/tt0156248/,,https://ru.wikipedia.org/wiki/32-%D0%B5_%D0%B0%D0%B2%D0%B3%D1%83%D1%81%D1%82%D0%B0_%D0%BD%D0%B0_%D0%97%D0%B5%D0%BC%D0%BB%D0%B5,1998
,Ди Джей Карузо,,5.2,https://www.imdb.com/title/tt32084246/,,https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%B2%D0%B0_%D0%9C%D0%B0%D1%80%D0%B8%D1%8F:_%D0%9C%D0%B0%D1%82%D1%8C_%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%B0,
Россия,Александр Муратов,,4.9,https://www.imdb.com/title/tt0417390/,,https://ru.wikipedia.org/wiki/32_%D0%B4%D0%B5%D0%BA%D0%B0%D0%B1%D1%80%D1%8F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC),2004
США,Джаред Хесс,,5.6,https://www.imdb.com/title/tt3566834/,,https://ru.wikipedia.org/wiki/Minecraft_%D0%B2_%D0%BA%D0%B8%D0%BD%D0%BE,2025
США,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Кевин Коннор, [вд]",,5.5,https://www.imdb.com/title/tt0214930/,,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%D0%B8%D1%8F,_%D0%BC%D0%B0%D1%82%D1%8C_%D0%98%D0%B8%D1%81%D1%83%D1%81%D0%B0",
,"Ана Лили Амирпур, [англ.]",,6.9,https://www.imdb.com/title/tt2326554/,,https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%B2%D1%83%D1%88%D0%BA%D0%B0_%D0%B2%D0%BE%D0%B7%D0%B2%D1%80%D0%B0%D1%89%D0%B0%D0%B5%D1%82%D1%81%D1%8F_%D0%BE%D0%B4%D0%BD%D0%B0_%D0%BD%D0%BE%D1%87%D1%8C%D1%8E_%D0%B4%D0%BE%D0%BC%D0%BE%D0%B9,2014
Россия,Андрей Кончаловский,,7.4,https://www.imdb.com/title/tt10796286/,,https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D1%80%D0%BE%D0%B3%D0%B8%D0%B5_%D1%82%D0%BE%D0%B2%D0%B0%D1%80%D0%B8%D1%89%D0%B8!,2020
,Виктор  Косаковский,,7.1,https://www.imdb.com/title/tt11464016/,,https://ru.wikipedia.org/wiki/%D0%93%D1%83%D0%BD%D0%B4%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC),2020
,Семих Капланоглу,,6,https://www.imdb.com/title/tt4073682/,,"https://ru.wikipedia.org/wiki/%D0%97%D0%B5%D1%80%D0%BD%D0%BE_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2017)",2017
,Пабло Бергер,,7.5,https://www.imdb.com/title/tt1854513/,,"https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%BE%D1%81%D0%BD%D0%B5%D0%B6%D0%BA%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2012)",2012
